             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7348169 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348170 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348171 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348172 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348173 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348174 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348175 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348176 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348177 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348178 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348179 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348180 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348181 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348182 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348183 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348184 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348185 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348186 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348187 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348188 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348189 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348190 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348191 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348192 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348193 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348194 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348195 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348196 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348197 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348198 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348199 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348200 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348201 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348202 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348203 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348204 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348205 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348206 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348207 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348208 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348209 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348210 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348211 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348212 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348213 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348214 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348215 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348216 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348217 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348218 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348219 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348220 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348221 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348223 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348224 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348225 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348226 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348227 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348228 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348229 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348230 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348231 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348232 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348233 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348234 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348235 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348236 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348237 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348238 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348239 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348240 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348241 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348242 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348243 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348244 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348245 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348246 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348247 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348248 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348249 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348250 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348251 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348252 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348253 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348254 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348255 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348256 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348257 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348258 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348259 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348260 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348261 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348262 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348263 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348264 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348265 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348266 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348267 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348268 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348269 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
